1,ABBA\Dancing Queen.mid
2,"ABBA\Money, Money, Money.1.mid"
3,ABBA\Waterloo.1.mid
4,Alanis Morissette\Ironic.mid
5,Backstreet Boys\Quit Playin' Games.1.mid
6,Bee Gees\Stayin Alive.2.mid
7,Billy Joel\Uptown Girl.mid
8,Bob Dylan\Blowing in the Wind.mid
9,Bon Jovi\Livin' On A Prayer.2.mid
10,Bon Jovi\You Give Love a Bad Name.3.mid
11,Bruce Springsteen\Born in the U.S.A..3.mid
12,Bryan Adams\Heaven.4.mid
13,Bryan Adams\Summer of '69.2.mid
14,Cash Johnny\I Walk The Line.1.mid
15,Celine Dion\My Heart Will Go On.4.mid
16,Chuck Berry\Johnny B Goode.mid
17,Clouseau\Daar gaat ze.mid
18,Collins Phil\Another Day in Paradise.6.mid
19,Collins Phil\Something Happened on the Way to Heaven.mid
20,Collins Phil\Two Hearts.mid
21,De Deurzakkers\Wij vieren feest.1.mid
22,De Dijk\Als Ze Er Niet Is.mid
23,De Electronica's\De vogeltjesdans.1.mid
24,Deep Purple\Smoke On The Water.1.mid
25,Dire Straits\Walk Of Life.2.mid
26,"Earth, Wind & Fire\Boogie Wonderland.1.mid"
27,"Earth, Wind & Fire\September (bonus track).3.mid"
28,Elvis Presley\Hound Dog.mid
29,Elvis Presley\Jailhouse Rock.7.mid
30,Eric Clapton\Tears in Heaven.1.mid
31,Estefan Gloria\Get on Your Feet.1.mid
32,Europe\The Final Countdown.mid
33,"Frank Sinatra\New York, New York (theme du film).mid"
34,Frans Bauer\Als sterren aan de hemel staan.mid
35,Fugees\Killing Me Softly.8.mid
36,Genesis\I Can't Dance.3.mid
37,George Baker Selection\Una Paloma Blanca.1.mid
38,Gipsy Kings\Bamboleo.1.mid
39,Gordon\Kon Ik Maar Even Bij Je Zijn.mid
40,Green Day\Basket Case.1.mid
41,Guns N' Roses\Live & Let Die.1.mid
42,Jackson Michael\Billie Jean.2.mid
43,Jackson Michael\Black or White.5.mid
44,Jackson Michael\Man in the Mirror.1.mid
45,John Elton\Your Song.5.mid
46,Katrina and the Waves\Walking On Sunshine.mid
47,Klein Orkest\Over de muur.mid
48,Kylie Minogue\Locomotion.mid
49,Led Zeppelin\Stairway To Heaven.10.mid
50,Led Zeppelin\Whole Lotta Love.1.mid
51,Los Del Rio\Macarena.3.mid
52,Louis Armstrong\(What a) Wonderful World.1.mid
53,Ludwig van Beethoven\Fur Elise.1.mid
54,Lynyrd Skynyrd\Sweet Home Alabama.1.mid
55,Madonna\Like A Virgin.3.mid
56,Marc Cohn\Walking In Memphis.mid
57,Marco Borsato\Ik leef niet meer voor jou.mid
58,Marco Borsato\Je hoeft niet naar huis vannacht.mid
59,"Marley Bob\No Woman, No Cry.mid"
60,Michael George\Faith.2.mid
61,Michael George\Wake Me Up Before You Go Go.mid
62,Monty Python\Always Look on the Bright Side of Life.1.mid
63,Neil Diamond\Sweet Caroline.1.mid
64,Pat Benatar\Love Is A Battlefield.1.mid
65,Pat Boone\Speedy Gonzales.mid
66,Peter de Koning\Het Is Altijd Lente in de Ogen Van de Tandartsassistente.mid
67,Queen\Another One Bites The Dust.2.mid
68,Queen\Radio Ga Ga.mid
69,Queen\We Will Rock You.2.mid
70,Ray Charles\I Can't Stop Loving You.mid
71,REDDING OTIS\(Sitin' on) The Dock of the Bay.2.mid
72,RICHIE LIONEL\Hello.3.mid
73,Rick Astley\Never Gonna Give You Up.mid
74,Right Said Fred\I'm Too Sexy.mid
75,Rod Stewart\First Cut Is the Deepest.mid
76,Salt-N-Pepa\Let's Talk About Sex.1.mid
77,Seal\Kiss From a Rose.1.mid
78,Simon & Garfunkel\Bridge Over Troubled Water.1.mid
79,Simon & Garfunkel\The Sound of Silence.2.mid
80,Spice Girls\Wannabe.mid
81,Steve Miller Band\The Joker.2.mid
82,Stevie Nicks\Landslide.mid
83,Sting\English Man In New York.1.mid
84,Sting\Fields of Gold.mid
85,Survivor\Eye Of The Tiger.mid
86,Tears for Fears\Everybody Wants To Rule The World.mid
87,Technohead\I Wanna Be a Hippy.mid
88,The Beach Boys\God Only Knows.mid
89,The Beatles\A Hard Day's Night.5.mid
90,The Beatles\Hey Jude.1.mid
91,The Beatles\Let It Be.1.mid
92,"The Beatles\Ob-La-Di, Ob-La-Da.2.mid"
93,The Beatles\You've Got to Hide Your Love Away.1.mid
94,The Police\Don't Stand So Close.mid
95,The Police\Message in a Bottle.mid
96,Toto\Africa.3.mid
97,U2\I Still Haven't Found What I'm Looking For.mid
98,Van Halen\Jump.2.mid
99,Wonder Stevie\Isn't She Lovely.mid
100,ZZ Top\Sharp Dressed Man.mid
